source_id,title,url,publisher,source_type,authority_level,relevant_sections,design_decisions,implementation_tasks,test_requirements,fallback_behavior,review_status
O11,RFC 8289 CoDel,https://www.rfc-editor.org/rfc/rfc8289,IETF,Internet Standard,official,"CoDel algorithm; target; interval; drop statistics; delay measurement","Understand CoDel internals when inspecting CAKE's AQM component","Reference CoDel parameters when decoding relevant CAKE statistics","Test delay and drop statistics against expected CoDel behavior","Report unavailable CoDel statistics rather than synthesizing them","verified"
O12,Linux tc-netem documentation,https://man7.org/linux/man-pages/man8/tc-netem.8.html,Linux man-pages,man page,official,"netem for test environment simulation; delay; loss; reorder","Use netem in the test environment to simulate network conditions for iperf3 measurements","Configure netem in integration test fixtures","Test measurements under simulated delay and loss conditions","Document netem dependency as a test-only requirement","verified"
K01,Netlink Handbook,https://docs.kernel.org/userspace-api/netlink/index.html,Linux kernel,technical documentation,official,"Handbook; protocol specifications","Use family-specific structured Netlink handling","Add Netlink subsystem abstraction","Smoke-test family discovery and dumps","Fall back to sysfs/procfs","verified"
K02,Introduction to Netlink,https://docs.kernel.org/userspace-api/netlink/intro.html,Linux kernel,technical documentation,official,"Socket opening; dumps; errors; extended ACK; consistency","Handle multipart dumps, ACKs, errors, retries, and truncation","Implement bounded message walker","Malformed-message and interrupted-dump tests","Return partial/unavailable status","verified"
K03,Raw Netlink families,https://docs.kernel.org/userspace-api/netlink/netlink-raw.html,Linux kernel,technical documentation,official,"NETLINK_ROUTE; nested attributes; submessages","Decode route and TC nested structures by selector","Implement rtnetlink/tc attribute dispatch","Nested-attribute fixture tests","Use utility fallback only when Netlink unavailable","verified"
K04,Generic Netlink,https://docs.kernel.org/networking/generic_netlink.html,Linux kernel,technical documentation,official,"Generic Netlink family usage","Resolve family identifiers at runtime","Add family-resolution layer","Missing-family and version tests","Mark capability unavailable","verified"
K05,Generic networking statistics,https://docs.kernel.org/networking/gen_stats.html,Linux kernel,technical documentation,official,"Statistics groups; TLV export; locking","Preserve statistic provenance and missingness","Map qdisc stats to typed report fields","Missing-statistics tests","Use null plus availability state","verified"
K06,ethtool Netlink interface,https://docs.kernel.org/networking/ethtool-netlink.html,Linux kernel,technical documentation,official,"GET/SET/ACTION; privileges; link state; stats","Use GET-only ethtool operations","Implement read-only link collector","Privilege and unsupported-operation tests","Fallback to sysfs or utility","verified"
K07,Linux networking documentation,https://docs.kernel.org/networking/index.html,Linux kernel,documentation index,official,"Interface stats; operational state; rtnetlink specifications; TC","Split collectors by kernel subsystem","Implement link/route/neigh/qdisc collectors","Per-collector fixture tests","Partial report per failed collector","verified"
K08,List of Maintainers,https://docs.kernel.org/process/maintainers.html,Linux kernel,process documentation,official,"Subsystem ownership; source trees; file patterns","Track kernel interface provenance by subsystem/version","Record compatibility source context","Version-matrix review","Mark unknown kernel behavior explicitly","verified"
K09,Atomic Commit In SQLite,https://www.sqlite.org/atomiccommit.html,SQLite,technical documentation,official,"Atomic commit; rollback; fsync; crash recovery; crash testing","Database writes must be transactional and recoverable after interruption","Define transaction boundaries and recovery checks","Simulate interrupted writes and verify all-or-nothing recovery","Disable persistence only when storage failure is explicitly reported","verified"
K10,Write-Ahead Logging,https://www.sqlite.org/wal.html,SQLite,technical documentation,official,"WAL operation; checkpointing; concurrency; read-only databases; WAL growth","Do not assume WAL is always appropriate on constrained flash storage","Select journal mode deliberately and bound WAL growth","Test checkpoint starvation, SQLITE_BUSY, and disk-full conditions","Fall back to rollback journaling or read-only degraded mode","verified"
K11,PRAGMA Statements,https://www.sqlite.org/pragma.html,SQLite,technical documentation,official,"query_only; synchronous; journal_mode; integrity_check; quick_check; busy_timeout; hard_heap_limit","Use explicit database safety and resource settings; unknown PRAGMAs must not be trusted","Configure query-only/read-write mode, busy timeout, integrity checks, and limits","Test unsupported, misspelled, and rejected PRAGMAs","Record unsupported settings instead of assuming they applied","verified"
K12,RFC 9110 HTTP Semantics,https://www.rfc-editor.org/rfc/rfc9110,IETF,Internet Standard,official,"HTTP semantics; defensive parsing; URI origins; field limits; HTTPS identity; errors","API parsing must be defensive and HTTPS identity validation must be explicit","Define request limits, status mapping, content handling, and TLS policy","Test malformed fields, oversized headers, invalid URIs, and certificate failures","Return bounded 4xx/5xx errors without crashing","verified"
K13,OWASP API Security Top 10 2023,https://owasp.org/API-Security/,OWASP,security guidance,community authority,"Broken authorization; unrestricted resource consumption; misconfiguration; inventory; unsafe API consumption","LAN reachability is not equivalent to authorization; API resources must be bounded","Define authorization model, endpoint inventory, quotas, and secure defaults","Test unauthenticated, unauthorized, high-rate, and oversized requests","Disable risky endpoints and preserve read-only diagnostics","verified"
K14,OS Command Injection Defense,https://cheatsheetseries.owasp.org/cheatsheets/OS_Command_Injection_Defense_Cheat_Sheet.html,OWASP,security guidance,community authority,"Avoid OS commands; parameterization; allowlists; least privilege; argument injection","Do not construct shell commands; use fixed executables and argument arrays","Remove system/popen/shell construction and validate every argument","Injection payload, option-injection, executable substitution, and privilege tests","Prefer native APIs; otherwise use a fixed command and fixed argument schema","verified"
K15,Input Validation,https://cheatsheetseries.owasp.org/cheatsheets/Input_Validation_Cheat_Sheet.html,OWASP,security guidance,community authority,"Syntactic and semantic validation; allowlists; bounds; server-side validation; ReDoS","Validate at the trust boundary using allowlists, type checks, and size bounds","Define schemas for every UCI, ubus, HTTP, and utility input","Fuzz malformed types, lengths, Unicode, ranges, and regular expressions","Reject invalid input and preserve the previous valid configuration","verified"
K16,Kernel Testing Guide,https://docs.kernel.org/dev-tools/testing-overview.html,Linux kernel,technical documentation,official,"KUnit; kselftest; coverage; sanitizers; static analysis","Use layered unit, system, coverage, dynamic-analysis, and static-analysis gates","Map parser and collector tests to unit and integration layers","Run tests with sanitizers and static analyzers where supported","Skip unavailable kernel facilities while reporting coverage gaps","verified"
K17,Linux Kernel Selftests,https://docs.kernel.org/dev-tools/kselftest.html,Linux kernel,technical documentation,official,"Userspace tests; subsets; timeouts; TAP output; graceful skips; CI build requirements","Integration tests should be userspace-visible, bounded, TAP-compatible, and skip unsupported features","Create fixture-based Netlink, sysfs, SQLite, and API integration tests","Require bounded test time, TAP output, and explicit skip states","Skip tests when kernel features are unavailable; do not treat skips as passes","verified"
K18,Interface Statistics,https://www.kernel.org/doc/html/latest/networking/statistics.html,Linux kernel,technical documentation,official,"rtnl_link_stats64; rtnetlink; sysfs; procfs; ethtool; missing statistics","Prefer rtnetlink for standard statistics and preserve unavailable counters as unavailable","Implement standard, protocol-specific, and driver-defined statistic provenance","Compare Netlink, sysfs, and utility values where available","Use sysfs/procfs only as fallback and never synthesize zeroes","verified"
K19,Operational States,https://www.kernel.org/doc/html/latest/networking/operstates.html,Linux kernel,technical documentation,official,"IFF_UP; IFF_RUNNING; IFF_LOWER_UP; IFF_DORMANT; IFLA_OPERSTATE; link events","Administrative state, carrier state, and operational state must be represented separately","Add independent fields and event handling for each state","Test admin-down, carrier-down, dormant, lower-layer-down, and unknown states","Report state disagreement instead of collapsing it into up/down","verified"
K20,Family rt-link Netlink Specification,https://docs.kernel.org/netlink/specs/rt-link.html,Linux kernel,uAPI specification,official,"RTM_GETLINK; RTM_GETSTATS; link attributes; stats64; qdisc; nested linkinfo","Use the published schema for link and statistics decoding","Implement schema-driven link attribute decoding","Test missing attributes, nested link kinds, and 32/64-bit counters","Fall back to sysfs for individual missing fields","verified"
K21,Family tc Netlink Specification,https://docs.kernel.org/netlink/specs/tc.html,Linux kernel,uAPI specification,official,"GETQDISC; qdisc stats; CAKE attributes; CAKE statistics; nested options","Inspect qdiscs through Netlink and decode CAKE by nested attributes, not text heuristics","Implement read-only qdisc and CAKE attribute collection","Test CAKE, non-CAKE, missing optional attributes, malformed nests, and unknown kinds","Use controlled tc output only as a bounded fallback","verified"
K22,GCC Instrumentation and Hardening Options,https://gcc.gnu.org/onlinedocs/gcc/Instrumentation-Options.html,GNU Project,compiler documentation,official,"AddressSanitizer; UBSan; coverage; stack protection; hardened builds","Use sanitizers and hardened compiler profiles in host-side CI, while separating them from target builds when unsupported","Define debug, fuzz, coverage, and release compiler profiles","Require sanitizer, coverage, and hardened-build jobs where toolchain supports them","Mark unsupported instrumentation as a CI environment limitation","verified"
K23,SOURCE_DATE_EPOCH,https://reproducible-builds.org/docs/source-date-epoch/,Reproducible Builds project,build reproducibility guidance,community authority,"Reproducible timestamps; tool support; build environment control","Build metadata must be deterministic and timestamps must not depend on wall-clock time","Set and verify SOURCE_DATE_EPOCH in package builds","Build twice in separate directories and compare artifacts","Fail reproducibility checks or record the exact variance","verified"
K24,OpenWrt Packages Contributing Guidelines,https://github.com/openwrt/packages/blob/master/CONTRIBUTING.md,OpenWrt,package policy,official project guidance,"Package maintenance; dependency boundaries; fixed source archives; licenses; CI; generic package tests; runtime testing","Use maintained upstream releases, OpenWrt-supported dependencies, fixed source versions, SPDX licensing, and package-level runtime tests","Define Makefile metadata, dependency declarations, package tests, and target-platform CI","Run cross-architecture builds, executable/version/path/library checks, and QEMU runtime tests","Do not package an unmaintained or unreproducible dependency; fail the package build rather than silently omitting dependencies","verified"
K25,procd.sh API implementation,https://github.com/openwrt/openwrt/blob/main/package/system/procd/files/procd.sh,OpenWrt,reference implementation,official project source,"Service instances; command arrays; respawn; environment; resource limits; users/groups; jails; seccomp; capabilities; config and interface triggers","Use procd-native lifecycle management, fixed command arguments, bounded respawn, least privilege, resource limits, and optional filesystem/network isolation","Specify service instance, command vector, respawn policy, user/group, limits, logging, triggers, and jail policy","Test start/stop/reload, crash recovery, config-change triggers, missing dependencies, privilege restrictions, and restart loops","Start in degraded mode only when safe; use bounded respawn and preserve diagnostic state across worker restarts","verified"
K26,iperf3 3.21 manual page,https://github.com/esnet/iperf/blob/master/src/iperf3.1,ESnet,upstream manual,official upstream documentation,"JSON output; JSON streaming; client/server roles; timeouts; duration limits; bitrate limits; bind device; authentication; one-off mode","Treat iperf3 as a bounded external measurement dependency, not as an always-available subsystem","Use fixed argument vectors, explicit duration/bitrate/parallelism limits, connect and receive timeouts, and JSON parsing limits","Test absent binary, unsupported flags, malformed JSON, timeout, server refusal, partial output, and client/server role mismatch","Prefer no measurement over an unbounded process; retain the last valid result and report the failure category","verified"
K27,iperf3 release notes,https://github.com/esnet/iperf/blob/master/RELNOTES.md,ESnet,upstream release history,official upstream documentation,"Recent security fixes; JSON changes; timeout behavior; memory safety; authentication; portability","Pin and audit the iperf3 version; do not assume JSON schema stability across versions","Record supported iperf3 versions and validate version-specific JSON fields","Run regression tests against every supported version and test malformed control-channel JSON","Disable optional features unavailable in the installed version and reject incompatible versions explicitly","verified"
K28,OpenWrt UCI Technical Reference,https://openwrt.org/docs/techref/uci,OpenWrt,technical reference,official,"UCI configuration model; package/section/option/list hierarchy; Lua and C API; staged changes in /tmp/.uci; commit semantics; anonymous vs named sections","Access UCI via the documented API only; never parse /etc/config files directly; validate every option on read before use; use staged-change semantics for write paths","Implement UCI reader using uci CLI or libuci with type-checked option access","Test missing config, missing section, wrong option type, staged-but-uncommitted values, and anonymous section access","Preserve last valid configuration on any parse or validation failure; never apply partially-read configuration","verified"
K29,ubus Technical Reference,https://openwrt.org/docs/techref/ubus,OpenWrt,technical reference,official,"ubus object/method registration; Unix socket transport; TLV messages; libubus API; UBUS_STATUS codes; JSON argument format; method signatures","Design any optional ubus interface as read-only; validate all method arguments against declared types before dispatch; return structured UBUS_STATUS codes on error","Define ubus object name, method table, and argument policy if ubus exposure is added in a later phase","Test UBUS_STATUS_INVALID_ARGUMENT, UBUS_STATUS_PERMISSION_DENIED, missing arguments, and type mismatches","Return UBUS_STATUS_NOT_FOUND or UBUS_STATUS_UNKNOWN_ERROR for unsupported operations; never crash on unexpected input","verified"
K30,SQLite Limits,https://www.sqlite.org/limits.html,SQLite,technical documentation,official,"SQLITE_MAX_PAGE_COUNT; page_size; SQLITE_MAX_LENGTH; SQLITE_LIMIT_LENGTH; SQLITE_LIMIT_SQL_LENGTH; SQLITE_MAX_EXPR_DEPTH; sqlite3_limit runtime API; security guidance on lowering limits","Set explicit conservative limits via sqlite3_limit at connection open time; lower SQLITE_LIMIT_LENGTH and SQLITE_LIMIT_SQL_LENGTH well below defaults for a constrained embedded target; set max_page_count to enforce database size bound","Call sqlite3_limit for LENGTH, SQL_LENGTH, and EXPR_DEPTH on every connection; set PRAGMA max_page_count after open","Test behavior when each limit is exceeded; verify SQLITE_TOOBIG error is returned rather than a crash or silent truncation","Return storage_full or malformed state when limits are hit; never silently truncate data","verified"
K31,Linux Seccomp Filter,https://docs.kernel.org/userspace-api/seccomp_filter.html,Linux kernel,technical documentation,official,"prctl PR_SET_SECCOMP; SECCOMP_MODE_FILTER; BPF program evaluation; NO_NEW_PRIVS requirement; architecture checking; layered filter semantics; CAP_SYS_ADMIN alternative","Seccomp is a complement to, not a replacement for, least-privilege design; always set PR_SET_NO_NEW_PRIVS before installing a filter; always check architecture in the BPF program before filtering on syscall numbers; assess jail/seccomp feasibility against required syscalls before enabling","Audit required syscalls before writing a filter; verify filter does not block Netlink socket creation, recv, send, or required file operations","Test that filter installation succeeds unprivileged after PR_SET_NO_NEW_PRIVS; test that blocked syscalls return ENOSYS not crash; test filter does not block required Netlink and file operations","If seccomp is unavailable or blocks required operations, run without a filter and document the gap; do not silently degrade by killing the daemon","verified"
K32,OpenWrt Flash Layout,https://openwrt.org/docs/techref/flash.layout,OpenWrt,technical reference,official,"NOR vs NAND flash; SquashFS read-only rootfs; JFFS2 overlay; OverlayFS mount; rootfs_data partition; sysupgrade wipe behavior; UBI volumes on NAND; uvol tool","Write persistent data to a path that survives sysupgrade or document that it does not; prefer /etc/config for configuration (persisted by sysupgrade) and a dedicated data directory for the SQLite database; warn users that the database may be wiped on firmware upgrade","Store the SQLite database under a path documented as persistent; implement graceful handling of a missing database after upgrade (same as first-run)","Test daemon startup with no existing database; test correct behavior after simulated sysupgrade wipe","Treat a missing database as first-run healthy state, not as an error; never assume the database survived a firmware upgrade","verified"
K33,OpenWrt Kernel Module Packaging,https://openwrt.org/docs/guide-developer/packages,OpenWrt,developer guide,official,"KernelPackage macro; KCONFIG; FILES; AUTOLOAD; kmod- dependency prefix; kernel version pinning; module versioning tied to LINUX_VERSION","Declare kmod dependencies from the userspace package using DEPENDS:=+kmod-<name>; never assume a kernel module is present; probe for required kernel features at runtime and degrade gracefully when absent","Add kmod dependency declarations to the Makefile if any collection path requires a kernel module; probe module availability before use","Test collection behavior when a required kmod is absent; verify graceful unavailable state rather than crash or load error","Mark the affected capability as unavailable when a required kmod is not loaded; do not error-exit the daemon","verified"
K34,tc man page — JSON output and rate limits,https://man7.org/linux/man-pages/man8/tc.8.html,Linux man-pages,man page,official,"JSON output via -j/-json flag; 32-bit internal rate storage (max 4294967295 bps); 32-bit time unit (microsecond, max 4294967295 usec); 32-bit size storage; tc Netlink protocol used by iproute2","Parse tc -j JSON output only as a bounded fallback; be aware of 32-bit rate and time limits that may wrap on very high-speed links; validate all numeric fields against these documented maximums","Implement tc JSON fallback with output size limit, JSON schema validation, and numeric range checks","Test tc JSON parsing with values near 32-bit limits; test truncated and malformed tc output","Return malformed state on unexpected output; never pass tc values above documented maximums to the report unchanged","verified"
